"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","30-39.9","90-100","C","306"
"AK","W - White","50-59.9","10-19.9","L","306"
"AK","W - White","90-100","20-29.9","C","305"
"AK","W - White","80-89.9","30-39.9","Q","305"
"AK","W - White","20-29.9","90-100","J","304"
"AK","W - White","90-100","50-59.9","E","304"
"AK","W - White","80-89.9","40-49.9","A","303"
"AK","W - White","10-19.9","20-29.9","P","303"
"AK","W - White","10-19.9","80-89.9","J","302"
"AK","W - White","60-69.9","80-89.9","H","302"
"AK","W - White","90-100","10-19.9","E","301"
"AK","W - White","70-79.9","20-29.9","R","301"
"AK","W - White","90-100","10-19.9","A","300"
"AK","W - White","50-59.9","80-89.9","B","299"
"AK","W - White","10-19.9","80-89.9","L","297"
"AK","W - White","40-49.9","20-29.9","N","297"
"AK","W - White","50-59.9","20-29.9","N","296"
"AK","W - White","70-79.9","0-9.9","J","295"
"AK","W - White","90-100","20-29.9","R","295"
"AK","W - White","30-39.9","90-100","K","294"
"AK","W - White","60-69.9","20-29.9","A","293"
"AK","W - White","30-39.9","90-100","R","293"
"AK","W - White","90-100","30-39.9","E","293"
"AK","W - White","40-49.9","80-89.9","L","292"
"AK","W - White","90-100","50-59.9","H","291"
"AK","W - White","10-19.9","0-9.9","I","291"
"AK","W - White","90-100","10-19.9","L","291"
"AK","W - White","70-79.9","20-29.9","Q","291"
"AK","W - White","30-39.9","90-100","F","290"
"AK","W - White","20-29.9","0-9.9","B","290"
"AK","W - White","90-100","60-69.9","F","289"
"AK","W - White","80-89.9","80-89.9","H","289"
"AK","W - White","50-59.9","80-89.9","H","288"
"AK","W - White","80-89.9","40-49.9","R","288"
"AK","W - White","20-29.9","90-100","F","287"
"AK","W - White","20-29.9","80-89.9","B","287"
"AK","W - White","20-29.9","20-29.9","D","287"
"AK","W - White","40-49.9","20-29.9","M","286"
"AK","W - White","40-49.9","20-29.9","O","286"
"AK","W - White","20-29.9","0-9.9","G","285"
"AK","W - White","80-89.9","40-49.9","D","285"
"AK","W - White","40-49.9","10-19.9","L","285"
"AK","W - White","80-89.9","50-59.9","C","284"
"AK","W - White","0-9.9","40-49.9","N","284"
"AK","W - White","60-69.9","30-39.9","M","283"
"AK","W - White","90-100","10-19.9","N","283"
"AK","W - White","90-100","60-69.9","H","282"
"AK","W - White","10-19.9","20-29.9","G","282"
"AK","W - White","10-19.9","70-79.9","G","282"
"AK","W - White","80-89.9","40-49.9","L","281"
"AK","W - White","60-69.9","20-29.9","Q","281"
"AK","W - White","30-39.9","0-9.9","H","281"
"AK","W - White","20-29.9","90-100","L","280"
"AK","W - White","50-59.9","20-29.9","A","279"
"AK","W - White","10-19.9","0-9.9","B","277"
"AK","W - White","40-49.9","0-9.9","J","276"
"AK","W - White","90-100","40-49.9","H","276"
"AK","W - White","80-89.9","30-39.9","F","275"
"AK","N - Native American","70-79.9","90-100","T","275"
"AK","W - White","60-69.9","0-9.9","J","275"
"AK","W - White","40-49.9","80-89.9","E","274"
"AK","W - White","60-69.9","90-100","O","274"
"AK","W - White","0-9.9","30-39.9","M","272"
"AK","W - White","0-9.9","90-100","H","272"
"AK","W - White","50-59.9","0-9.9","J","271"
"AK","W - White","30-39.9","90-100","J","271"
"AK","W - White","90-100","30-39.9","R","271"
"AK","W - White","50-59.9","10-19.9","P","271"
"AK","W - White","10-19.9","80-89.9","F","270"
"AK","W - White","30-39.9","0-9.9","F","270"
"AK","W - White","60-69.9","90-100","D","269"
"AK","W - White","50-59.9","90-100","Q","268"
"AK","W - White","60-69.9","80-89.9","E","268"
"AK","W - White","20-29.9","10-19.9","R","268"
"AK","N - Native American","70-79.9","90-100","S","267"
"AK","W - White","0-9.9","90-100","J","266"
"AK","W - White","0-9.9","20-29.9","Q","266"
"AK","W - White","0-9.9","90-100","G","266"
"AK","W - White","90-100","40-49.9","E","265"
"AK","W - White","40-49.9","90-100","A","265"
"AK","W - White","70-79.9","90-100","N","265"
"AK","W - White","50-59.9","80-89.9","E","265"
"AK","W - White","40-49.9","20-29.9","A","263"
"AK","W - White","10-19.9","80-89.9","K","263"
"AK","W - White","90-100","70-79.9","L","263"
"AK","W - White","60-69.9","20-29.9","R","263"
"AK","W - White","20-29.9","0-9.9","H","262"
"AK","W - White","10-19.9","80-89.9","I","262"
